Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
"Ini baru ""BERITA""; ; PPP TOLAK PENCAPRESAN JOKOWI...!; ; 1. Baru Didukung PDIP, PPP Tolak Jokowi Menjadi Presiden Dua Periode; ; Partai Persatuan Pembangunan (PPP) kubu Djan Faridz dengan tegas menolak Jokowi kembali memimpin Indonesia untuk dua periode. ð???",0,0,0,0,0,0,0,0,0,0,0,0
"USER Sama kayak papaku\xf0\x9f\x98\x82\n\n'apa manggil2? mau nete?'""",0,1,0,0,0,0,0,0,0,0,0,0
USER Kok ganti namanya jd hatstag ð???ð???ð??? pengen bgt ganti presiden ganteng yað???,0,0,0,0,0,0,0,0,0,0,0,0
"Pada momen kegiatan budaya ini, telah direncanakan akan ada ribuan warga Baduy yang membanjiri Kota Serang.; #ExcitingBantenOnSebaBaduy; ; #GenpiCilegon",0,0,0,0,0,0,0,0,0,0,0,0
"2. Dalam rapat terbatas ini, Presiden USER mengingatkan pentingnya publikasi terhadap kegiatan yang akan diselenggarakan di Jakarta dan Palembang pada bulan Agustus mendatang #JokowiPacuPromosiAsianGames #YukPromosikanAsianGames18",0,0,0,0,0,0,0,0,0,0,0,0
"USER kyknya itu titit nya di sambung, trus pake accessoris jg'",0,1,0,0,0,0,0,0,0,0,0,0
Rejim Jokowi otoriter ini maksa banget harus pake non tuney.,1,0,1,0,0,0,0,0,1,1,0,0
"USER Itu bisa terwujud dikarenakan katolik itu terpusat,terstruktur,teroganisasi dng sangat baik yakni berpusat pada vatikan. Jadi Nu bisa mengambil,merebut peran seperti vatikan maka semua akan lebih mudah'",0,0,0,0,0,0,0,0,0,0,0,0
"USER Kampret nih si Jimmy...loe dapet duit dari niru2 ulama, ulama malah loe goblog2in. Loe yg goblog bin Bahlul. Mendingan loe copot tuh atribut2 palsu loe, ganti seragam cebong.....loe bakalan mati sengsara di adzab sama Allah. Aamiin\n Loe liat aje nanti...'",1,1,1,0,0,0,0,0,1,1,0,0
RT USER: USER Kenapa pada jadi IDIOT semua ya???\nApakah ini azab dari Allah. ???',0,1,0,0,0,0,0,0,0,0,0,0
"USER Foto profile nya saat naik pesawat, tp msh bs blg jgn cintai produk asing,dari hal sederhana ini saja,kita sdh bs mengukur berapa parahnya tingkat kemunafikan mu,lbh baik anda lgs terjun dari pesawat biar ucapan anda sesuai dgn perbuatan.",0,0,0,0,0,0,0,0,0,0,0,0
"USER Lagi cerita-cerita gitu..\n\n\xf0\x9f\x91\xa6 iya kalo di kristen kan ada Rabu Abu, Kamis Putih, Jumat Agung..\n\xf0\x9f\x91\xa9 sabtu?\n\xf0\x9f\x91\xa6 jalan yuk..\n\nAuk amatttttt\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'",0,0,0,0,0,0,0,0,0,0,0,0
"Pndukung USER spt ARB, SDA adl org2 BEJAD tabiatnya kasar termasuk org ini &gt;&gt; USER &lt;&lt; DASAR Anjing!!'",1,1,0,1,0,0,0,0,1,0,1,0
Mana sempet mimpi lagi gw bangke',0,1,0,0,0,0,0,0,0,0,0,0
"Bangsa ini harus berani membahas secara terbuka dan beradab, Islam bukan agama, melainkan ajaran sesat yang merugikan",1,1,0,1,1,0,0,0,0,0,1,0
Karakter kartun yang mendeskripsikan karakter Luhan adalah \xe2\x80\x9cRaja Monyet diDragon Ball\xe2\x80\x9d karena mereka berdua memiliki rasa keadilan XD',0,0,0,0,0,0,0,0,0,0,0,0
USER USER Love mindun dan antek anteknya \xe2\x99\xa5\xe2\x99\xa5\xe2\x99\xa5',0,0,0,0,0,0,0,0,0,0,0,0
USER USER Sampean sarap ya..kl impor pswat terbg gak pa2.. ini impor garam. Gk kebayang indonesia yg isinya garam semua kok garam jgdiimpor ...dasar otak ente ampu kaki',1,1,1,0,0,0,0,0,1,1,0,0
USER USER Jd ingat congor oknum Nasdem klo si joko kalah di 2019 Indonesia bubar,1,1,1,0,0,0,0,0,1,1,0,0
"Belum pernah ada pelatih asing yang menjuarai Piala Dunia. Yang terbaru, Roberto Martinez (melatih Belgia), juga gagal di semifinal.'",0,0,0,0,0,0,0,0,0,0,0,0
Pagi pagi sudah galau\n\nGalau ke kampus ikut try out atau tidak\n\nNanti di tengah2 mencret kan ga lucu :(',0,0,0,0,0,0,0,0,0,0,0,0
"Jika kasus yang menjerat umat islam polisi berlaku cepat, giliran si penista Al - Quran kayanya lambat banget Penjarakan penjarakan ahok",1,0,0,1,1,0,0,0,0,0,1,0
USER USER Tipiwan tipi favorit kaum fiksi yg dungu \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',1,1,0,1,0,0,0,0,1,0,1,0
USER USER Bisa ular juga protein. Enzim babi juga.',0,0,0,0,0,0,0,0,0,0,0,0
"Ini nih, gue jg suka gitu. Abis gue sm temen2 gue beli, org beli juga. Ini gara2 gue yg gendut (jd keliatannya suka makan dan selera gue bagus, gitu kali ya) bisa jadi bikin pandangan orang oh makanannya enak, makanya mereka ikut beli LOL HEHE URL",0,0,0,0,0,0,0,0,0,0,0,0
USER Gak krungu bocoran aseng milan arep rekrut pemain argentina ta mbah (emanuel de porras) \xf0\x9f\x98\x82\xf0\x9f\x98\x82',0,0,0,0,0,0,0,0,0,0,0,0
KPK masih dibutuhkan. Semua yg dilakukan sdh baik. Knp tdk DPR saja yg di bubarkan? URL,1,0,0,1,0,0,0,0,1,0,1,0
"\xf0\x9f\x91\xa6: Dek, ak cinta kamu. Ak mencintaimu karena ALLAH \xf0\x9f\x99\x8f\n\xf0\x9f\x91\xa7: Iyamas .ak jua mencintaimu,tapi.\n\xf0\x9f\x91\xa6: Tapi ap lagi? ak wes hijrah rajin ngibadah wes pinter ngaji, wes siap rabi\n\xf0\x9f\x91\xa7: Tapi m",0,0,0,0,0,0,0,0,0,0,0,0
USER ngomong ama silit',0,1,0,0,0,0,0,0,0,0,0,0
USER Pasti cebong ikut2 an gelas nya ada gambar 5 priode cebong\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',0,1,0,0,0,0,0,0,0,0,0,0
MENGAPA ahoker KRISTEN & MUNAFIK tidak berhenti mengolok2 GEREJA stiap hari? Apakah mereka memang dibriefing ahok untuk menghina si BUMI DATAR?,1,1,0,1,1,0,0,0,0,0,1,0
USER U gataw waktu taun baru dia valik lg tai bgt',0,1,0,0,0,0,0,0,0,0,0,0
USER Bangke \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',1,1,1,0,0,0,0,0,1,1,0,0
Gubernur Jabar HEBAT!ð???ð???,0,0,0,0,0,0,0,0,0,0,0,0
Posting Gambar Jokowi dan Megawati di Atas Ranjang Eko Prabowo Ditangkap. JokowiAgain,1,0,1,0,0,0,0,0,1,1,0,0
USER USER USER USER USER USER USER Minta tolong sama USER buat blejetin ni pilot sontoloyo. Buat USER tlg kami minta klarifikasinya.',1,1,1,0,0,0,0,0,1,1,0,0
Peh. Cha Tae Hyun kalau berlakon. *menitik air mata*',0,0,0,0,0,0,0,0,0,0,0,0
"Katekismus Gereja Katolik tidak melarang miras secara lantang tapi menentang perbudakan yang bisa disebabkan oleh miras. \n\nBeberapa ayat menyatakan anggur secara positif (Pengkotbah, Mazmur dan Amos) seperti: minumlah anggur dengan hati yang senang da",0,0,0,0,0,0,0,0,0,0,0,0
"USER USER USER Dan cebong pun terdiam. Taunya apple to apple doang, istilah yang bikin katanya keliatan pinter tapi minim kognitif'",1,1,1,0,0,0,0,0,1,1,0,0
RT USER USER Para jendral propaganda mereka perang propaganda dgn jualan utamanya pki dan cinaisasi..,1,0,0,1,0,1,0,0,0,0,1,0
USER USER Lidah buaya.',0,0,0,0,0,0,0,0,0,0,0,0
USER Mampus lu anaknya langsung nongol',1,1,1,0,0,0,0,0,1,1,0,0
Emangnya nih partai klo ngeluarin statement ada yang percaya? Lah isinya jongos cina komunis semua.,1,1,0,1,0,1,0,0,0,0,1,0
Ih geblek sp yg bilang airplane pt.2 bawa2 islam alquran sgala \xf0\x9f\x98\xa1\xf0\x9f\x98\xa1 lebih ke latin drpd arabic song kali \xf0\x9f\x98\xa7',0,1,0,0,0,0,0,0,0,0,0,0
USER baru baca sarap kali',0,1,0,0,0,0,0,0,0,0,0,0
kesel tai army kepalanya gede2 bener URL,0,1,0,0,0,0,0,0,0,0,0,0
"USER udah jelek, budek lagii :( .nga'",1,1,1,0,0,0,1,0,0,1,0,0
E-Commerce â??Nyawa Baruâ?? Pertumbuhan Ekonomi RI,0,0,0,0,0,0,0,0,0,0,0,0
"perempuan kaya lo mending mati aja deh, jelek aja, gausa sok jadi make up artist!",1,1,1,0,0,0,1,1,0,1,0,0
"USER USER Keadilan .. Bilang ke org laen anti aseng, giliran akun medsosnya diblokir, demooooooo... Nyinyiiiiiir... Eh impor barang dr china pula..'",1,0,1,0,0,0,0,0,1,1,0,0
USER selamat datang setan',1,1,1,0,0,0,0,0,1,1,0,0
USER yeuh mentalita sunda sib...g club g pendukung kunyuk kabeh...\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 URL,1,1,0,1,0,0,0,0,1,0,1,0
USER Mainnya di jamban \xf0\x9f\x98\x82',0,0,0,0,0,0,0,0,0,0,0,0
"USER Gak pernah berubah emang Biu. \n\nBisa jadi orang itu bukan bermaksud munafik sama perasaannya tapi, siapa tau itu tameng kebahagiaan dia?\n\nMikirin kebahagian mah nggak ada abisnya, mending tidur.'",0,0,0,0,0,0,0,0,0,0,0,0
"Sudah jangan terlalu banyak membingkai bangkai, cukup menjadikannya pelajaran saja, agar hidup kita semakin baik pada masa yang akan datang.'",0,0,0,0,0,0,0,0,0,0,0,0
USER Habis minum kencing onta',0,1,0,0,0,0,0,0,0,0,0,0
"USER Pak USER Muhammad ngaku nabi akhir silahkan, tapi tak boleh merampas hak orang lain mengaku nabi",1,0,0,1,1,0,0,0,0,0,1,0
Dalam 25 Tahun Utang Jokowi Setara 5 Tahun SBY: Rakyat Diperas untuk Membayar Utang ! URL,1,0,1,0,0,0,0,0,1,1,0,0
"USER Bukan cuma foto selfie, tapi juga foto badan, dll. Terutama foto yang bajunya terbuka. Beware, orang sinting makin banyak. Setidaknya menjaga itu lebih baik.'",0,1,0,0,0,0,0,0,0,0,0,0
"USER USER Contoh orang baek itu bpk jokowi, programnya: mobil esemka menjadi mobnas, membangun tidak mengandalkan hutang...dll.",0,0,0,0,0,0,0,0,0,0,0,0
USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER RBA dpt latihan kubus,0,0,0,0,0,0,0,0,0,0,0,0
"Kata cewek ""Semua Lelaki itu\nbrengsek"" Nah guys kalo lo brengsek\nberbanggalah, Brarti lo laki.'",0,1,0,0,0,0,0,0,0,0,0,0
"USER USER USER USER USER Setuju dibatalin, lah wong ustad ngomongnya ""jancuk"", ""matamu""...kasar dan kotor, apa yg mau diambil ilmunya? Lanjut mas Permadi Arya..\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d'",0,1,0,0,0,0,0,0,0,0,0,0
Gw curiga kalo Ahok kalah pemilihan kepala daerah itu konspirasi biar penduduk Jakarta pada pindah ke Meikarta daripada punya gubernur yg gak kompeten.,1,0,1,0,0,0,0,0,1,1,0,0
deklarasi pilkada 2018 aman dan anti hoax paguyuban budidaya lele jabon,0,0,0,0,0,0,0,0,0,0,0,0
USER 3. Hal itu juga telah diakui oleh WHO bahwa orientasi seksual seperti homoseksual atau biseksual bukanlah gangguan. Baru2 ini bahkan Transgender sendiri juga dicoret dari daftar gangguan jiwa. Bisa search sendiri data validnya dari WHO.',0,0,0,0,0,0,0,0,0,0,0,0
USER USER USER USER Bom yang real mudah terdeteksi bom yang terkubur suatu saat lebih dahsyat ledakannya itulah di sebut Revolusi Jiwa',0,0,0,0,0,0,0,0,0,0,0,0
Alhamdulillah sebagai pendukung yang kalah sy tdk pernah berkata sontoloyo kepada klub idola org lain. Krn sy tau kata2 itu muncul akibat pelampiasan amarah. Syg skl oknum tak terlihat melakukan itu saat puasa \xf0\x9f\x98\xa2',0,0,0,0,0,0,0,0,0,0,0,0
USER Karna lu jbjbnya udah siang coba tdi pagi pasti masih pagi yakan? Tolong jangan goblok tang wkwk',0,1,0,0,0,0,0,0,0,0,0,0
USER Tolol luh.',1,1,1,0,0,0,0,0,1,1,0,0
"USER USER USER Matamu picek, itu kinerja lanjutan dari USER alias Ahok.'",1,1,1,0,0,0,1,0,0,1,0,0
RT USER: Contoh babi 1:\n\nDah tahu dah nak merah pegi jalan lagi. Kalau tak sangkut takpe. Ni sangkut kat tengah jalan. Pastu orang lain\xe2\x80\xa6',0,1,0,0,0,0,0,0,0,0,0,0
"Hadeh. Gajetot.\n\nGak jelas, ngentot.'",1,1,1,0,0,0,0,1,0,1,0,0
"ð???ð??¥Warga Baduy setelah selesai memperingati tradisi Seba di Pendopo Pemkab Lebak akan dilanjutkan kembali bertemu dengan Gubernur Banten Wahidin Halim hari ini, Sabtu (21/4) #SebaBaduy2018",0,0,0,0,0,0,0,0,0,0,0,0
"USER USER USER USER USER USER USER USER USER, siapapun U apalagi yg mentil2 ntu sm2 goblok tolol bin bahlul,, onta kampret\xf0\x9f\x98\x80'",1,1,1,0,0,0,0,0,1,1,0,0
Menjelang Pilkada Anggota Polsek Tegalrejo Polres Magelang sambang/DDS pada Tokoh Agama sertaâ?¦,0,0,0,0,0,0,0,0,0,0,0,0
Ahok: Masih Perlu Diskusi untuk Terapkan Sistem Ganjil-Genap,0,0,0,0,0,0,0,0,0,0,0,0
Mangsa utama dari burung Elang Harpy adalah monyet.',0,0,0,0,0,0,0,0,0,0,0,0
BUBARKAN ILUNI UI,1,0,0,1,0,0,0,0,1,0,0,1
USER Gua buta bahasa asing artinya sangat lelah itu apaan min?',0,0,0,0,0,0,0,0,0,0,0,0
\xf0\x9f\x91\xa9mamah \n\xf0\x9f\x91\xb5nenek\n\n Ceritanya mamah abis beli kerudung diliatin ke nenek \n\n\xf0\x9f\x91\xa9(ngelebarin kerudung)tuh gede ya enak dipakenya\n\xf0\x9f\x91\xb5iya taplak meja \n\nSeketika aku ngakak sengakak ngakaknya:( kenap,0,0,0,0,0,0,0,0,0,0,0,0
USER USER USER Susu monyet liar yee',0,0,0,0,0,0,0,0,0,0,0,0
"Emang kalo mau PACARAN harus punya PACAR dulu ya? Terus, kalo kita mau SARAPAN harus jadi SARAP dulu, gitu? #galau'",0,1,0,0,0,0,0,0,0,0,0,0
USER USER Memang sengaja... Melihat hasil pilkada dki yg memuaskan bagi mereka ..,0,0,0,0,0,0,0,0,0,0,0,0
"Megawati : Ingat...!!!; Anda Itu Petugas Partai,; .; Santai aja Bu. ga usah marah marah gitu..; 2019 bisa diganti koq Bu; Tenang aja...; #2019GantiPresiden",1,0,1,0,0,0,0,0,1,1,0,0
Apa yang aku dapat sepanjang hari ini. Penguasaan bahasa melayu dalam kalangan bangsa cina amat kurang. Ada yang mampu menghafal tapi tak faham apa yang dihafal.',0,0,0,0,0,0,0,0,0,0,0,0
"cinta itu buta, buta itu gelap, gelap itu hitam, hitam itu monyet, monyet itu yang baca tweet ini.'",0,1,0,0,0,0,0,0,0,0,0,0
USER USER Ulama yg tidak dikenal......,0,0,0,0,0,0,0,0,0,0,0,0
"RT USER: Bajingan Homo!!!\nHati2 terhadap anak2 kita terutama di kamar mandi laki2, jgn biarkan sendiri! URL",1,1,1,0,0,0,0,1,0,1,0,0
USER Apa USER ga mikir ya semakinhari kesalahan Rezim semakin di tampakan ?\n\nPiye iki...',0,0,0,0,0,0,0,0,0,0,0,0
USER LOL same kak same! Aku sempet pasang posternya karena disitu Kristen Stewart cantik banget hahaha',0,0,0,0,0,0,0,0,0,0,0,0
"-- kapan. \n\n""Kemana aku harus pergi?"" \n\nSuara terdengar setengah berbisik hingga hanya dirinya sendiri yang mungkin dapat mendengarnya. Kopor yang dia tarik seolah menjadi saksi bisu dari ketidakberdayaannya saat ini. Tidak ada arah dan tujuan; hanya",0,0,0,0,0,0,0,0,0,0,0,0
35.Umat Islam harus selalu memiliki kriteria sendiri terhadap pilihan pemimpinnya. pemimpindarimasjid jangan pilih pemimpin non muslim,1,0,0,1,1,0,0,0,0,0,1,0
"Bagian dari melestarikan dungu & biadab Islam, melestarikan dukungan terhadap teroris Islam",1,1,0,1,1,0,0,0,0,0,1,0
Seorg pemuda diamankan Tim Densus 88 karna terbukti selalu mengirim bom sms ke gebetannya',0,0,0,0,0,0,0,0,0,0,0,0
"memang msh noob, sedih))'",0,0,0,0,0,0,0,0,0,0,0,0
"itu pas gue baru aja ditampol si edi eh tyo, jd bibir gue menyon. barbar emang tuh si kunyuk\n\n- chandra URL",0,1,0,0,0,0,0,0,0,0,0,0
"USER Cinta itu buta cha tapi walaupun begitu amitamit ya jgn sampe, ga ada enaknya :('",0,0,0,0,0,0,0,0,0,0,0,0
USER GILA MENTANG MENTANG DAH BUKAN ANAK SMA',0,1,0,0,0,0,0,0,0,0,0,0
"USER Browh. Anda punya wewenang di DPR utk bentuk pansus ato apalah.. Ambil action donk, cocot aja di twitter..'",1,1,1,0,0,0,0,0,1,1,0,0
"USER USER Andai tak ada Pak Harto, Indonesia sudah jadi negara komunis. Satu dari dua ideologi yg saya benci.'",0,0,0,0,0,0,0,0,0,0,0,0
"8. Presiden USER: Saat ini berdasarkan laporan yang saya terima terdapat 945 ribu ASN, 275 ribu TNI, dan 360 ribu anggota Polri yang belum memiliki rumah yang bersifat permanen #JokowiPercepatPenyediaanPerumahan",0,0,0,0,0,0,0,0,0,0,0,0
"Seandainya Prabowo Presiden Konflik Rohingya Jadi Apa? Jadi ga jelas, semuanya ditipu oleh prabowo",1,0,1,0,0,0,0,0,1,1,0,0
USER Dia idup di sini pake duit transferan full dari Indonesia apa ya/semacamnya? Ga yakin dia idup macam TKI kek aku :)))))',1,0,1,0,0,0,0,0,1,1,0,0
"Dia digendong namun tetap tdk sombong. Dipanggul namun tetap tidak merasa unggul. Dan dihormati namun tetap rendah hati. Dialah USER; ; Kalian tahu siapa mereka yg memanggul Presiden kita? Mereka adlh pasukan elit TNI penjaga kedaulatan NKRI, bukan juru",0,0,0,0,0,0,0,0,0,0,0,0
USER Bisa...tapi harus siap dikatain kafir komunis antek asing dsb...',0,0,0,0,0,0,0,0,0,0,0,0
"USER Kita tunggu saja!\n\nAda satu yg beda, kalau KOMUNIS: Komunis Gaya Baru..\n\n^_^'",0,0,0,0,0,0,0,0,0,0,0,0
Trimakasih ya allah engkau tlah tunjukan kebesaranmu... Engkau tlah membukakan mata hatiku yg buta krn cinta...trimakasih tuhan engkau masih menolongku..',0,0,0,0,0,0,0,0,0,0,0,0
"JOKOWI PILIHAN PASTI 2019; ; Capres itu tidak musti 'BONGKAR PASANG', isi lobang congklak, karena Presiden tidak boleh 'COBA-COBA'; ; Supaya pikiran LURUS &amp; NEGERI TERURUS..; Pilihan pada USER; ; #2019TetapJokowi; #2019T3tapJokowi; #JokowiSemakinKu",0,0,0,0,0,0,0,0,0,0,0,0
"Pernah nanya ke orang kristen apa enaknya ibadah minggu pagi, kan enakan tidur. Lalu bales dijawab, lah gue malah bingung sama kalian yang islam solat 5x sehari gak capek apa. Lah iya bener juga'",0,0,0,0,0,0,0,0,0,0,0,0
"Belajar Agama or Islam? Jika belajar Islam, percaya Adam Nabi jadi dungu, nyembah Allah SWT benci kafir jadi biadab?",1,1,0,1,1,0,0,0,0,0,1,0
Punya mata sipit gaenak\n\nsusah pake eyeliner',0,0,0,0,0,0,0,0,0,0,0,0
jaringan indosat memang ampas sekali \n3:) fuck you indosat',1,1,0,1,0,0,0,0,1,0,1,0
